Country,Code,Year,Cantril ladder score,Happiness: Happy (aggregate)
Albania,ALB,2022,5.277,73.9271
Austria,AUT,2022,7.097,89.06489
Bosnia and Herzegovina,BIH,2022,5.633,87.04503
Bulgaria,BGR,2022,5.466,60.17142
Croatia,HRV,2022,6.125,81.63215
Cyprus,CYP,2022,6.13,81.93637
Czechia,CZE,2022,6.845,86.34818
Denmark,DNK,2022,7.586,90.10067
Estonia,EST,2022,6.455,84.37757
Finland,FIN,2022,7.804,88.91853
France,FRA,2022,6.661,90.87823
Germany,DEU,2022,6.892,86.399
Greece,GRC,2022,5.931,71.42216
Hungary,HUN,2022,6.041,81.28936
Iceland,ISL,2022,7.53,95.11448
Italy,ITA,2022,6.405,82.27991
Latvia,LVA,2022,6.213,78.80634
Lithuania,LTU,2022,6.763,73.6502
Montenegro,MNE,2022,5.722,91.52189
Netherlands,NLD,2022,7.403,90.52544
North Macedonia,MKD,2022,5.254,86.81465
Norway,NOR,2022,7.315,94.06306
Poland,POL,2022,6.26,90.96447
Portugal,PRT,2022,5.968,87.78766
Romania,ROU,2022,6.589,77.93004
Russia,RUS,2022,5.661,79.44434
Serbia,SRB,2022,6.144,79.77212
Slovakia,SVK,2022,6.469,78.91463
Slovenia,SVN,2022,6.65,83.50598
Spain,ESP,2022,6.436,88.79475
Sweden,SWE,2022,7.395,93.77649
Switzerland,CHE,2022,7.24,93.31825
Ukraine,UKR,2022,5.071,76.26277
United Kingdom,GBR,2022,6.796,91.45046
